num,keys,editor
001,<c-f>,vim
002,<nul>,vim
003,<c-a>,vim
004,<c-b>,vim
005,<c-space>,kakoune
006,<c-a>,neovim
007,<c-a>,vim
008,<c-a>,vim
009,<c-b>,neovim
010,<c-d>,vim
011,<c-a>,neovim
012,<c-a>,vim
013,<c-b>,nul
014,<c-b>,neovim
015,<c-a>,vim
016,<c-f>,vim
017,<c-b>,vim
018,<c-a>,neovim
019,<c-a>,vim
020,<c-space>,vim
021,<c-c>,None
022,`,vim
023,`,neovim
024,`,vim
025,<c-a>,vim
026,<c-o>,vim
027,<nul>,vim
028,<c-a>,vim
029,<c-a>,vim
030,<c-a>,vim
031,<c-a>,neovim
032,<c-a>,vim
033,<c-a>,vim
034,<c-z>,emacs
035,<c-a>,vis
036,<c-a>,neovim
037,<c-a>,neovim
038,<c-a>,vim
039,<c-z>,emacs
040,<c-a>,vim
041,<c-a>,vim
042,`,vim
043,<c-`>,neovim
044,<c-\>,emacs
045,<c-a>,vim
046,<c-b>,neovim
047,<c-space>,vim
048,<c-a>,vim
049,<c-a>,vim
050,<c-space>,vim
051,<c-a>,vim
052,<c-b>,emacs
053,<c-a>,neovim
054,<c-b>,vim
055,<c-a>,vim
056,<c-b>,emacs
057,<c-b>,vim
058,<c-b>,neovim
059,<shift>,neovim
060,<c-t>,emacs
061,<c-space>,neovim
062,<c-a>,vim
063,<c-q>,neovim
064,<c-b>,neovim
065,<c-b>,vim
066,<c-a>,vim
067,<c-space>,vim
068,<c-b>,ed
069,<c-a>,vim
070,<c-a>,vim
071,<c-a>,neovim
072,<c-space>,neovim
073,<c-o>,neovim
074,<c-a>,vim
075,<c-space>,neovim
076,<c-a>,vim
077,<c-b>,vim
078,`,vim
079,<c-a>,vim
080,<c-b>,vim
081,<m-e>,vim
082,<c-a>,vim
083,<c-a>,neovim
084,<nul>,neovim
085,<c-b>,neovim
086,<c-b>,emacs
087,dasdas,nano
088,<c-x>,vim
089,<c-b>,neovim
090,<nul>,emacs
091,<nul>,vim
092,<c-b>,nano
093,<c-b>,vim
094,<m-space>,kakoune
095,<c-b>,nvi
096,<c-a>,neovim
097,<c-a>,neovim
098,<c-a>,vim
099,<c-z>,emacs
100,`,vim
